study_id;outcome_id;reference;pub_year;duration;location_paper;location_st;country;coordinate1;coordinate2;region1origin;climate1;map1;scale;veg_typepaper;ve_type2;deg_status;inv_degree;time_inv;n_type;t_sp_paper;t_family_paper;t_lifeform1;t_lifelength;t_origin1;t_lifestage1;t_successtage;performance1;performance2;performance3;study_type;cID;controltype_study;control_type2;nID;size_sunit;MEANc;MEANn;SDc;SDn;Nc;Nn;SE_c;SE_n;data_type;data_site;ask_data
40;40_001;Mello & Oliveira 2016;2016;275;"""Brazilian Fernando de Noronha National Park and Environmental Protection Area""";Fernando_de_Noronha/PE;Brazil;3ø50ïS;32§15ïW;tropical;tropical_oceanic;1400;neighbor;current vegetation is mainly composed of associations ofLeucaena with Capparis,shrub and forest physiognomies;;intermediate;Leucaena plants forming mixed stands with other species (highly invaded site),thesis:50 to 99% cover percent ;"""since 1940""";isolated;Erythrina velutina;Leguminosae;tree;perennial;native;seedling;pioneer;height;growth;fitness;experimental;40_001;control, with both Leucaena and Capparis removed (i.e., bare soil);notree;40_001;;40.7;27.71;12.7;5.24;10;10;4.016092628;;hedges_d;S7dataset,supporting information;
40;40_002;Mello & Oliveira 2016;2016;275;"""Brazilian Fernando de Noronha National Park and Environmental Protection Area""";Fernando_de_Noronha/PE;Brazil;3ø50ïS;32§15ïW;tropical;tropical_oceanic;1400;neighbor;current vegetation is mainly composed of associations of Leucaena with Capparis,shrub and forest physiognomies;;intermediate;Leucaena plants forming mixed stands with other species (highly invaded site),thesis:50 to 99% cover percent ;"""since 1940""";isolated;Erythrina velutina;Leguminosae;tree;perennial;native;seedling;pioneer;height;growth;fitness;experimental;40_002;control, with Capparis(native plant) present and Leucaena removed;nativetree;40_001;;37.8;27.71;15.35;5.24;10;10;4.853463753;;hedges_d;S7dataset,supporting information;
40;40_003;Mello & Oliveira 2016;2016;30;"""Brazilian Fernando de Noronha National Park and Environmental Protection Area""";Fernando_de_Noronha/PE;Brazil;3ø50ïS;32§15ïW;tropical;tropical_oceanic;1400;neighbor;current vegetation is mainly composed of associations ofLeucaena with Capparis,shrub and forest physiognomies;;intermediate;Leucaena plants forming mixed stands with other species (highly invaded site),thesis:50 to 99% cover percent ;"""since 1940""";isolated;Erythrina velutina;Leguminosae;tree;perennial;native;seed;pioneer;germination;emergence;fitness;experimental;40_001;control, with Leucaena and Capparis removed (i.e., bare soil);notree;40_001;;0.604;0.692;0.278;0.213;10;10;0.087911319;;hedges_d;S5dataset,supporting information;
40;40_004;Mello & Oliveira 2016;2016;30;"""Brazilian Fernando de Noronha National Park and Environmental Protection Area""";Fernando_de_Noronha/PE;Brazil;3ø50ïS;32§15ïW;tropical;tropical_oceanic;1400;neighbor;current vegetation is mainly composed of associations ofLeucaena with Capparis,shrub and forest physiognomies;;intermediate;Leucaena plants forming mixed stands with other species (highly invaded site),thesis:50 to 99% cover percent ;"""since 1940""";isolated;Erythrina velutina;Leguminosae;tree;perennial;native;seed;pioneer;germination;emergence;fitness;experimental;40_002;control, with Capparis present and Leucaena removed;nativetree;40_001;;0.624;0.692;0.273;0.213;10;10;0.08633018;;hedges_d;S5dataset,supporting information;
40;40_005;Mello & Oliveira 2016;2016;30;"""Brazilian Fernando de Noronha National Park and Environmental Protection Area""";Fernando_de_Noronha/PE;Brazil;3ø50ïS;32§15ïW;tropical;tropical_oceanic;1400;neighbor;current vegetation is mainly composed of associations ofLeucaena with Capparis,shrub and forest physiognomies;;intermediate;Leucaena plants forming mixed stands with other species (highly invaded site),thesis:50 to 99% cover percent ;"""since 1940""";isolated;Erythrina velutina;Leguminosae;tree;perennial;native;seed;pioneer;survival;survival;fitness;experimental;40_001;control, with Leucaena and Capparis removed (i.e., bare soil);notree;40_001;;0.52;0.103;0.205;0.106;10;10;0.064826692;;hedges_d;S6dataset,supporting information;yes
40;40_006;Mello & Oliveira 2016;2016;30;"""Brazilian Fernando de Noronha National Park and Environmental Protection Area""";Fernando_de_Noronha/PE;Brazil;3ø50ïS;32§15ïW;tropical;tropical_oceanic;1400;neighbor;current vegetation is mainly composed of associations ofLeucaena with Capparis,shrub and forest physiognomies;;intermediate;Leucaena plants forming mixed stands with other species (highly invaded site),thesis:50 to 99% cover percent ;"""since 1940""";isolated;Erythrina velutina;Leguminosae;tree;perennial;native;seed;pioneer;survival;survival;fitness;experimental;40_002;control, with Capparis present and Leucaena removed;nativetree;40_001;;0.542;0.103;0.238;0.106;10;10;0.075262208;;hedges_d;S6dataset,supporting information;yes
40;40_007;Mello & Oliveira 2016;2016;na;"""Brazilian Fernando de Noronha National Park and Environmental Protection Area""";Fernando_de_Noronha/PE;Brazil;3ø50ïS;32§15ïW;tropical;tropical_oceanic;1400;local;uninvaded site with herbaceous and forest physiognomies, invaded sites with forest physiognomies;;intermediate;Leucaena plants forming mixed stands with other species (highly invaded site),thesis:50 to 99% cover percent ;"""since 1940""";na;several;several;several;perennial;native;diameter at breast height (DBH) greater than 1 cm;not informed;richness;diversity;community ;observational;40_003;"""uninvaded site""";nativetrees?;40_002;circular plots with 3 m of radius;4.4;1.2;1.78;0.42;10;10;0.562885424;;hedges_d;"results,""invasion and community Survey""";
53;53_001;Parrotta 1995;1995;1642;"""University of Puerto Rico's Toa Baja experimental station located on the northern (Atlantic) coast of Puerto Rico""";Toa Baja;Puerto Rico;18§27N;66§10W;tropical;not informed;1600;neighbor;"study site was dominated by grasses, principally Panicum maximum and Tricholaena repens, with ca. 30 species of herbs and vines, principally Asteraceae, Papilionaceae and Euphorbiaceae; woody plants were absent";;early degraded;planted: initial tree spacing in all forest plots was 1 m x 1 m,plots 16mx16m;na;regular_planted;several;several;tree and shrubs;perennial;native;seedling(regeneration);not informed;richness;diversity;community;experimental;53_001;unplanted control,plots were dominated (>95%) by grasses (Panicum maximum and Tricholaena repens), with scattered vine and forb species;notree;53_001;plot area=289mý;0;6.7;0;3.81;3;3;0;2.2;hedges_d;Table 3_results;
53;53_002;Parrotta 1995;1995;1642;"""University of Puerto Rico's Toa Baja experimental station located on the northern (Atlantic) coast of Puerto Rico""";Toa Baja;Puerto Rico;18§27N;66§10W;tropical;not informed;1600;neighbor;"study site was dominated by grasses, principally Panicum maximum and Tricholaena repens, with ca. 30 species of herbs and vines, principally Asteraceae, Papilionaceae and Euphorbiaceae; woody plants were absent";;early degraded;planted: initial tree spacing in all forest plots was 1 m x 1 m,plots 16mx16m;na;regular_planted;several;several;tree and shrubs;perennial;native;seedling(regeneration);not informed;richness;diversity;community;experimental;53_002;Eucalyptus robusta monoculture;exotictree;53_001;plot area=289mý;6.7;6.7;1.55885;3.81;3;3;0.9;2.2;hedges_d;Table 3_results;
53;53_003;Parrotta 1995;1995;1642;"""University of Puerto Rico's Toa Baja experimental station located on the northern (Atlantic) coast of Puerto Rico""";Toa Baja;Puerto Rico;18§27N;66§10W;tropical;not informed;1600;neighbor;"study site was dominated by grasses, principally Panicum maximum and Tricholaena repens, with ca. 30 species of herbs and vines, principally Asteraceae, Papilionaceae and Euphorbiaceae; woody plants were absent";;early degraded;planted: initial tree spacing in all forest plots was 1 m x 1 m,plots 16mx16m;na;regular_planted;several;several;tree and shrubs;perennial;native;seedling(regeneration);not informed;richness;diversity;community;experimental;53_003;Casuarina equisetifolia monoculture;exotictree;53_001;plot area=289mý;3;6.7;0;3.81;3;3;0;2.2;hedges_d;Table 3_results;
